created,num_users,num_views,segment
2017-02-28T070130,78,90,0
2017-02-28T070130,65,72,1
2017-02-28T070130,61,67,2
2017-02-28T070130,61,70,3
2017-02-28T070130,61,73,4
2017-02-28T070130,63,71,5
2017-02-28T070130,60,67,6
2017-02-28T070130,62,67,7
2017-02-28T070130,63,67,8
2017-02-28T070130,60,66,9
2017-02-28T070130,59,70,10
2017-02-28T070130,60,70,11
2017-02-28T070130,61,71,12
2017-02-28T070130,61,72,13
2017-02-28T070130,59,79,14
2017-02-28T070130,58,75,15
2017-02-28T070130,59,74,16
2017-02-28T070130,58,69,17
2017-02-28T070130,59,68,18
2017-02-28T070130,59,69,19
2017-02-28T070130,59,70,20
2017-02-28T070130,60,69,21
2017-02-28T070130,57,66,22
2017-02-28T070130,56,69,23
2017-02-28T070130,56,70,24
2017-02-28T070130,58,69,25
2017-02-28T070130,57,64,26
2017-02-28T070130,58,63,27
2017-02-28T070130,58,62,28
2017-02-28T070130,58,62,29
2017-02-28T070130,56,65,30
2017-02-28T070130,56,64,31
2017-02-28T070130,57,69,32
2017-02-28T070130,59,68,33
2017-02-28T070130,56,64,34
2017-02-28T070130,57,63,35
2017-02-28T070130,57,65,36
2017-02-28T070130,58,64,37
2017-02-28T070130,58,63,38
2017-02-28T070130,60,73,39
2017-02-28T070130,59,71,40
2017-02-28T070130,56,81,41
2017-02-28T070130,56,75,42
2017-02-28T070130,56,66,43
2017-02-28T070130,55,64,44
2017-02-28T070130,54,63,45
2017-02-28T070130,56,64,46
2017-02-28T070130,56,65,47
2017-02-28T070130,58,65,48
2017-02-28T070130,58,63,49
2017-02-28T070130,56,65,50
2017-02-28T070130,57,62,51
2017-02-28T070130,58,62,52
2017-02-28T070130,56,62,53
2017-02-28T070130,57,73,54
2017-02-28T070130,58,66,55
2017-02-28T070130,56,64,56
2017-02-28T070130,55,58,57
2017-02-28T070130,57,61,58
2017-02-28T070130,58,65,59
2017-02-28T070130,57,59,60
2017-02-28T070130,54,60,61
2017-02-28T070130,55,59,62
2017-02-28T070130,54,57,63
2017-02-28T070130,56,61,64
2017-02-28T070130,53,56,65
2017-02-28T070130,55,57,66
2017-02-28T070130,53,61,67
2017-02-28T070130,56,63,68
2017-02-28T070130,55,61,69
2017-02-28T070130,54,59,70
2017-02-28T070130,55,62,71
2017-02-28T070130,56,64,72
2017-02-28T070130,55,63,73
2017-02-28T070130,54,65,74
2017-02-28T070130,53,65,75
2017-02-28T070130,53,70,76
2017-02-28T070130,55,77,77
2017-02-28T070130,55,67,78
2017-02-28T070130,53,61,79
2017-02-28T070130,53,59,80
2017-02-28T070130,53,60,81
2017-02-28T070130,52,63,82
2017-02-28T070130,54,64,83
2017-02-28T070130,53,64,84
2017-02-28T070130,53,59,85
2017-02-28T070130,52,57,86
2017-02-28T070130,52,61,87
2017-02-28T070130,53,59,88
2017-02-28T070130,50,56,89
2017-02-28T070130,51,57,90
2017-02-28T070130,49,63,91
2017-02-28T070130,47,49,92
