,index,AccountUserID_BLOB,SessionUserID_BLOB,AccountUserID,TimeStamp,EventType,CurrentTime,play_pause,current_slot
0,1027,...,,5285,1418906044,Video.Play,0.0,0,0
1,396,...,,5285,1418906055,Video.Pause,15.5975,0,0
2,1866,...,,5285,1418906348,Video.Play,15.5975,293,0
3,1773,...,,5285,1418906351,Video.Pause,21.5263,0,1
4,2480,...,,5285,1418906528,Video.Play,21.5263,177,1
5,1909,...,,5285,1418906879,Video.Pause,460.525,0,12
6,2089,...,,50578,1430592215,Video.Play,0.0,0,0
7,1795,...,,50578,1430592217,Video.Play,382.0,0,11
8,1212,...,,50578,1430592227,Video.Pause,391.341,0,12
9,1534,...,,71641,1451493489,Video.Pause,63.3847,0,1
10,329,...,,71641,1451495440,Video.Play,68.24,0,1
11,998,...,,71641,1451499810,Video.Play,0.0,0,0
12,1827,...,,79867,1426355924,Video.Play,0.0,0,0
13,1150,...,,79867,1426356205,Video.Play,280.72,0,9
14,604,...,,79867,1426356435,Video.Pause,460.72,0,12
15,1855,...,,173774,1450293106,Video.Play,0.0,0,0
16,2599,...,,173774,1450293158,Video.Pause,51.4003,0,1
17,1794,...,,173774,1450293350,Video.Play,51.68,0,1
18,1378,...,,173774,1450293397,Video.Pause,98.0819,0,2
19,1713,...,,173774,1450294483,Video.Play,98.5075,0,2
20,2408,...,,173774,1450294496,Video.Pause,111.601,0,2
21,1863,...,,173774,1450294610,Video.Play,111.991,0,2
22,306,...,,173774,1450294622,Video.Pause,124.12100000000001,0,4
23,1047,...,,173774,1450294623,Video.Play,124.48100000000001,0,4
24,1454,...,,173774,1450294624,Video.Pause,125.28,0,4
25,2401,...,,173774,1450294630,Video.Play,102.43,0,2
26,2601,...,,173774,1450294855,Video.Pause,326.961,0,9
27,1064,...,,173774,1450295040,Video.Play,327.19,0,9
28,1520,...,,173774,1450295164,Video.Pause,450.32099999999997,0,12
29,105,...,,173774,1450295165,Video.Play,450.88,0,12
30,2247,...,,190711,1418827081,Video.Play,0.0,0,0
31,1134,...,,190711,1418827545,Video.Pause,460.846,0,12
32,1691,...,,193524,1480461295,Video.Play,0.002,0,0
33,1352,...,,193524,1480461307,Video.Pause,248.19099999999997,0,8
34,774,...,,370148,1418906849,Video.Play,0.0,0,0
35,1103,...,,370148,1418906850,Video.Play,0.0,0,0
36,125,...,,370148,1418906876,Video.Play,32.328,0,1
37,389,...,,370148,1418906898,Video.Pause,308.847,0,9
38,517,...,,370148,1418906900,Video.Play,308.847,2,9
39,994,...,,370148,1418906932,Video.Pause,349.12800000000004,0,10
