,index,AccountUserID_BLOB,SessionUserID_BLOB,AccountUserID,SessionUserID,TimeStamp,CurrentTime,OldTime,NewTime,time_slot,oldtime_slots,newtime_slots,TimeDiff,SameSlot
1,1853,...,,50578,,1430592215,,0.0,382.0,10,0,11,382.0,0
2,1195,...,,79867,,1426356205,,280.44,232.0,10,9,8,-48.44,0
3,1813,...,,173774,,1450294626,,125.28,102.43,10,4,2,-22.849999999999994,0
4,2678,...,,193524,,1480461304,,9.54141,246.0,10,0,8,236.45859,0
5,354,...,,370148,,1418906876,,32.328,282.0,10,1,9,249.672,0
6,977,...,,370148,,1418993140,,441.76,209.0,86264,12,8,-232.76,0
8,1082,...,,370148,,1418996558,,344.16,272.0,3415,10,8,-72.16000000000003,0
9,457,...,,1169887,,1451727463,,27.122,0.0,10,1,0,-27.122,0
10,116,...,,1387516,,1418503029,,211.088,199.14,10,8,7,-11.948000000000008,0
11,131,...,,1387516,,1418506114,,387.017,365.04,3085,11,11,-21.976999999999975,1
12,192,...,,1402323,,1422970703,,94.0949,81.0,10,2,2,-13.094899999999996,1
14,1576,...,,1402323,,1422970716,,82.6655,66.0,12,2,1,-16.665499999999994,0
15,48,...,,1402323,,1422970837,,146.549,160.0,121,4,4,13.450999999999993,1
16,247,...,,1402323,,1435242039,,453.22,54.0,12271202,12,1,-399.22,0
23,370,...,,1756639,,1429455414,,210.34,162.0,10,8,5,-48.34,0
26,1689,...,,1756639,,1429455536,,228.804,205.0,117,8,7,-23.804000000000002,0
27,1683,...,,1756639,,1429455743,,410.75199999999995,393.0,207,12,12,-17.751999999999953,1
29,2148,...,,1756639,,1429455756,,381.085,353.0,12,11,10,-28.08499999999998,0
36,2162,...,,1756639,,1429455819,,195.14,208.0,44,7,8,12.860000000000014,0
41,40,...,,1756639,,1429455943,,296.0,145.0,116,9,4,-151.0,0
43,2356,...,,1756639,,1429456061,,85.2095,237.0,112,2,8,151.7905,0
44,871,...,,1756639,,1429456109,,282.485,382.0,48,9,11,99.51499999999999,0
45,2098,...,,1756639,,1429456631,,389.569,336.0,522,12,10,-53.56900000000002,0
46,2090,...,,1756639,,1431698426,,4.9379800000000005,101.0,2241795,0,2,96.06202,0
47,1745,...,,1756639,,1431698436,,111.83,151.0,10,2,4,39.17,0
55,1573,...,,2324990,,1419014827,,4.77145,36.0,10,0,1,31.22855,0
72,1771,...,,2324990,,1419017279,,0.669416,164.0,2265,0,5,163.330584,0
75,1330,...,,2332282,,1430243210,,1.61879,26.0,10,0,1,24.38121,0
79,366,...,,2332282,,1430243249,,123.756,148.0,34,3,4,24.244,0
88,1261,...,,2391317,,1418239030,,391.833,365.04,224,12,11,-26.793000000000006,0
89,1001,...,,2391317,,1418239063,,398.13599999999997,387.66,33,12,12,-10.475999999999942,1
90,496,...,,2391317,,1418239125,,448.001,420.3,62,12,12,-27.700999999999965,1
91,2524,...,,2391317,,1418324580,,0.0,152.6,85455,0,4,152.6,0
92,805,...,,2391317,,1418324635,,173.12,380.69,55,6,11,207.57,0
95,1449,...,,2391317,,1418324653,,163.673,380.69,12,5,11,217.017,0
96,1585,...,,2391317,,1418325083,,387.009,375.09,430,11,11,-11.91900000000004,1
98,1170,...,,2391317,,1418978249,,387.0,3.0,653162,11,0,-384.0,0
102,450,...,,2391317,,1418979003,,459.131,449.0,637,12,12,-10.130999999999972,1
108,640,...,,2391317,,1418979060,,243.0,132.0,43,8,4,-111.0,0
110,2579,...,,2391317,,1418979073,,42.0,62.0,10,1,1,20.0,1
116,498,...,,2391317,,1418979195,,66.0,129.0,103,1,4,63.0,0
117,2315,...,,2391317,,1418979221,,129.0,165.0,26,4,5,36.0,0
122,153,...,,2391317,,1418979451,,199.11599999999999,280.0,216,7,9,80.88400000000001,0
124,2314,...,,2471126,,1465220307,,281.371,407.0,10,9,12,125.62900000000002,0
126,253,...,,2844183,,1418581963,,406.973,353.0,10,12,10,-53.97300000000001,0
128,701,...,,2856743,,1418665040,,331.465,342.0,10,9,10,10.535000000000025,0
131,1051,...,,2856743,,1418665111,,423.153,413.0,68,12,12,-10.15300000000002,1
133,1805,...,,2899518,,1458612281,,90.1674,74.0,10,2,1,-16.1674,0
135,156,...,,2899518,,1458612522,,459.871,44.0,114,12,1,-415.871,0
